process,ans,r,lambda,epoch,n133230,-459.9999888,0.680544268,0.933075848,114,1
133311,-459.9999849,0.680539502,0.933078596,114,1,,,,,
133292,-459.9999849,0.680537323,0.933073739,114,1,,,,,
133305,-459.9999849,0.680544817,0.933072041,114,1,,,,,
133295,-459.9999849,0.680537999,0.93307086,114,1,,,,,
133296,-459.9999848,0.680540765,0.933071906,114,1,,,,,
133303,-459.9999848,0.680540497,0.933071219,114,1,,,,,
133283,-459.9999847,0.680543518,0.933070958,114,1,,,,,
133286,-459.9999847,0.680536487,0.93307553,114,1,,,,,
133297,-459.9999847,0.68054068,0.933074621,114,1,,,,,
133290,-459.9999846,0.680540761,0.933071743,114,1,,,,,
133313,-459.9999846,0.680537585,0.933071524,114,1,,,,,
133285,-459.9999846,0.680538981,0.933075562,114,1,,,,,
133313,-459.9999846,0.680544784,0.933074844,114,1,,,,,
133313,-459.9999846,0.680539428,0.933078149,114,1,,,,,
133287,-459.9999845,0.680540534,0.933074667,114,1,,,,,
133303,-459.9999845,0.680539221,0.933076635,114,1,,,,,
133301,-459.9999844,0.680538959,0.933073568,114,1,,,,,
133292,-459.9999844,0.680540732,0.933070937,114,1,,,,,
133299,-459.9999844,0.680536725,0.933072393,114,1,,,,,
133296,-459.9999843,0.680537253,0.93307821,114,1,,,,,
133305,-459.9999843,0.680540722,0.93306983,114,1,,,,,
133298,-459.9999842,0.680539059,0.933073775,114,1,,,,,
133286,-459.9999842,0.680539191,0.933074164,114,1,,,,,
133305,-459.9999842,0.680544833,0.933073661,114,1,,,,,
133289,-459.9999841,0.68054045,0.9330708,114,1,,,,,
133307,-459.9999841,0.680536372,0.933074149,114,1,,,,,
133292,-459.9999841,0.680534909,0.933073888,114,1,,,,,
133288,-459.9999841,0.680536429,0.933079476,114,1,,,,,
133285,-459.9999841,0.680536343,0.933076511,114,1,,,,,
133291,-459.9999841,0.680540487,0.933073155,114,1,,,,,
133295,-459.999984,0.680536424,0.933071824,114,1,,,,,
133283,-459.999984,0.680537172,0.933070403,114,1,,,,,
133312,-459.999984,0.680540722,0.933071034,114,1,,,,,
133295,-459.999984,0.680538891,0.933075259,114,1,,,,,
133289,-459.999984,0.680543682,0.933069648,114,1,,,,,
133296,-459.9999839,0.680543489,0.933072304,114,1,,,,,
133292,-459.9999839,0.680536412,0.933069628,114,1,,,,,
133304,-459.9999839,0.680540631,0.933076193,114,1,,,,,
133310,-459.9999839,0.680535002,0.933078569,114,1,,,,,
133304,-459.9999838,0.680539363,0.933073572,114,1,,,,,
133306,-459.9999838,0.680534916,0.933073608,114,1,,,,,
133304,-459.9999837,0.680538907,0.933074017,114,1,,,,,
133299,-459.9999836,0.680534869,0.933072675,114,1,,,,,
133292,-459.9999836,0.680534908,0.933070807,114,1,,,,,
133305,-459.9999836,0.680543665,0.933072123,114,1,,,,,
133304,-459.9999836,0.680537935,0.933074288,114,1,,,,,
133313,-459.9999836,0.680537935,0.933070914,114,1,,,,,
133296,-459.9999836,0.680539137,0.933078756,114,1,,,,,
133288,-459.9999836,0.680544628,0.933074174,114,1,,,,,
133286,-459.9999835,0.680543767,0.933070984,114,1,,,,,
133306,-459.9999835,0.680539434,0.933071251,114,1,,,,,
133311,-459.9999835,0.680537559,0.933073368,114,1,,,,,
133297,-459.9999835,0.680540617,0.933072735,114,1,,,,,
133293,-459.9999834,0.68053927,0.933069931,114,1,,,,,
133291,-459.9999834,0.680536362,0.933075788,114,1,,,,,
133302,-459.9999834,0.680539288,0.933077809,114,1,,,,,
133302,-459.9999833,0.680537545,0.933079046,114,1,,,,,
133309,-459.9999833,0.680536218,0.933070026,114,1,,,,,
133300,-459.9999833,0.680544624,0.933075734,114,1,,,,,
133306,-459.9999833,0.680540649,0.933079043,114,1,,,,,
133284,-459.9999832,0.680543503,0.933077517,114,1,,,,,
133300,-459.9999832,0.680538001,0.933073772,114,1,,,,,
133309,-459.9999831,0.680541763,0.933075724,114,1,,,,,
133289,-459.9999831,0.680540453,0.933073679,114,1,,,,,
133301,-459.999983,0.680536295,0.933076002,114,1,,,,,
133283,-459.999983,0.680538044,0.933071058,114,1,,,,,
133306,-459.999983,0.680540755,0.933075632,114,1,,,,,
133303,-459.999983,0.680536359,0.933077222,114,1,,,,,
133302,-459.999983,0.68054046,0.933078574,114,1,,,,,
133283,-459.9999829,0.68054046,0.9330697,114,1,,,,,
133289,-459.9999829,0.680544568,0.933077884,114,1,,,,,
133288,-459.9999829,0.680536236,0.933073471,114,1,,,,,
133288,-459.9999829,0.68054053,0.933076728,114,1,,,,,
133293,-459.9999829,0.680544576,0.933071228,114,1,,,,,
133293,-459.9999829,0.680536304,0.933073556,114,1,,,,,
133301,-459.9999829,0.680536471,0.933074876,114,1,,,,,
133303,-459.9999829,0.68053647,0.933078478,114,1,,,,,
133290,-459.9999828,0.680534889,0.933075331,114,1,,,,,
133285,-459.9999828,0.680544632,0.933070486,114,1,,,,,
133296,-459.9999828,0.680534974,0.933071109,114,1,,,,,
133313,-459.9999828,0.680540703,0.933078622,114,1,,,,,
133287,-459.9999827,0.680540588,0.933074289,114,1,,,,,
133303,-459.9999827,0.680539332,0.933078486,114,1,,,,,
