process,ans,r,lambda,epoch,n5447,10367.98081,0.680542927,0.933076487,114,1
5446,-459.9999849,0.680540516,0.933070529,114,1,,,,,
5451,-459.9999848,0.680544807,0.933069965,114,1,,,,,
5451,-459.9999848,0.680540743,0.933069714,114,1,,,,,
6364,-459.9999848,0.680539422,0.933071652,114,1,,,,,
5445,-459.9999848,0.680539523,0.933074675,114,1,,,,,
6370,-459.9999848,0.680537201,0.93306781,114,1,,,,,
6373,-459.9999847,0.68053714,0.933082064,114,1,,,,,
5453,-459.9999846,0.680537175,0.933077303,114,1,,,,,
5445,-459.9999846,0.680544703,0.933076431,114,1,,,,,
5444,-459.9999846,0.680540476,0.933072203,114,1,,,,,
5445,-459.9999845,0.680540488,0.933077033,114,1,,,,,
5449,-459.9999845,0.680539015,0.93307794,114,1,,,,,
5444,-459.9999844,0.680539339,0.933072395,114,1,,,,,
5453,-459.9999844,0.680540544,0.933072318,114,1,,,,,
5444,-459.9999844,0.680539044,0.933069809,114,1,,,,,
6367,-459.9999844,0.680539088,0.9330785,114,1,,,,,
5449,-459.9999844,0.680538927,0.933077271,114,1,,,,,
6368,-459.9999843,0.680540468,0.93306884,114,1,,,,,
5445,-459.9999842,0.680540581,0.933075516,114,1,,,,,
5451,-459.9999841,0.680538925,0.93307594,114,1,,,,,
5449,-459.9999841,0.680539416,0.933073462,114,1,,,,,
5448,-459.9999841,0.68054451,0.933077794,114,1,,,,,
5450,-459.999984,0.680540736,0.933079213,114,1,,,,,
5453,-459.999984,0.680539507,0.93307745,114,1,,,,,
5451,-459.999984,0.680534856,0.933077193,114,1,,,,,
5452,-459.999984,0.680536138,0.933076373,114,1,,,,,
5452,-459.9999839,0.68053497,0.933071762,114,1,,,,,
5448,-459.9999839,0.680539311,0.933078338,114,1,,,,,
6366,-459.9999839,0.680537959,0.933077109,114,1,,,,,
5450,-459.9999839,0.680543495,0.933070901,114,1,,,,,
6373,-459.9999839,0.680534523,0.933069646,114,1,,,,,
5444,-459.9999838,0.680539091,0.933078105,114,1,,,,,
5444,-459.9999838,0.680540644,0.93307893,114,1,,,,,
5451,-459.9999838,0.680540478,0.93307449,114,1,,,,,
6369,-459.9999838,0.680536359,0.933075988,114,1,,,,,
5450,-459.9999837,0.680537973,0.933078562,114,1,,,,,
5447,-459.9999837,0.680534909,0.933072296,114,1,,,,,
5453,-459.9999836,0.680536714,0.933069987,114,1,,,,,
5449,-459.9999836,0.680544811,0.933074788,114,1,,,,,
5448,-459.9999836,0.680543483,0.933072562,114,1,,,,,
5448,-459.9999835,0.680539104,0.933074545,114,1,,,,,
6367,-459.9999835,0.680534406,0.933072811,114,1,,,,,
5452,-459.9999835,0.680537915,0.933078635,114,1,,,,,
